name,ingredients,method,glass_type,ice,garnish,seasonal_associations,strength,flavor_profile
38,Pastry War,Tequila,1.00,Shake and fine strain,Coupe,-,Lime wedge,Spring,Medium,Sweet & Sour
,,Mezcal,0.5,,,,,Autumn,,Floral
,,Veda,0.5,,,,,Summer,,
,,Elderflower liqueur,0.5,,,,,,,
,,Lime juice,0.5,,,,,,,
,,Saline solution ,2drops,,,,,,,
,,,,,,,,,,
39,Moment Gone,White rum,2.00,Shake and fine strain,Highball,Cubed,Lemon wheel,Spring,Medium,Dry Sweet
,,Pomegranate juice,1.33,Top up with Prosecco,,,,Autumn,,
,,Lemon juice,0.67,,,,,Summer,,
,,Veda,0.5,,,,,,,
,,2:1 sugar syrup,0.25,,,,,,,
,,Prosecco,1.00,,,,,,,
,,,,,,,,,,
40,Mushrooms and Coke,Martinique Rum,1.00,Shake and fine strain,Highball,Cubed,Lemon peel,Spring,Strong,Dry Sweet
,,Veda,1.00,Top up with Prosecco,,,,Autumn,,
,,Pimento liqueur,0.25,,,,,Summer,,
,,Lime juice,0.75,,,,,,,
,,2:1 Sugar Syrup,0.25,,,,,,,
,,Prosecco,1 0.5,,,,,,,
,,,,,,,,,,
41,Show me the smoke,Mezcal,1.50,"Shake, fine strain and dry shake.",Coupe,-,Grated cinnamon,Spring,Strong,Sweet & Sour
,,Green chartreuse,0.25,,,,,Autumn,,Herbal
,,Veda,0.25,,,,,,,Smokey
,,Lemon juice,0.5,,,,,,,
,,2:1 Sugar Syrup,0.33,,,,,,,
,,Egg white,0.5,,,,,,,
,,,,,,,,,,
42,Cherry Bomb No.2,Tequila,2.00,Stir,Double old fashioned,Block,Cherry and green olive,Autumn,Strong,Dry Sweet
,,Veda,0.17,,,,,Winter,,Fruity
,,Aqua Bianca,0.17,,,,,,,
,,Luxardo Maraschino,0.17,,,,,,,
,,Cherry Heering ,0.17,,,,,,,
,,Spiced Chocolate bitters,2 Dashes,,,,,,,
,,,,,,,,,,
43,Vedicilin,Scotch,1.00,Shake and Fine strain,Double old fashioned,Cubed,Peated whiskey spray,Spring,Medium Strong,Sweet & Sour
,,Peated scotch,0.67,,,,Candiend Ginger,Summer,,Smokey
,,Lemon Juice,0.67,,,,,Winter,,
,,Veda,0.25,,,,,Autumn,,
,,Ginger Liqueur,0.5,,,,,,,
,,Honey syrup,0.25,,,,,,,
,,,,,,,,,,
44,Poison Dart,Bourbon,2.00,Shake and fine strain,Double old fashioned,Cubed,Orange peel,Summer,Medium Strong,Sweet & Sour
,,Lemon juice,0.5,,,,,Spring,,Spice
,,Orgeat syrup,0.5,,,,,Autumn,,
,,Veda,0.25,,,,,,,
,,Cinnamon syrup,0.17,,,,,,,
,,Pimento liqueur,0.54,,,,,,,
,,Orange bitters,1dash,,,,,,,
,,,,,,,,,,
45,Vedroni Sour,Gin,1.50,"Shake, fine strain and Dry shake",Coupe,-,Lemon wheel,Spring,Medium,Dry Sour
,,Campari,0.75,,,,,Autumn,,
,,Veda,1.00,,,,,Summer,,
,,Lemon juice,0.75,,,,,,,
,,Orange juice,0.25,,,,,,,
,,2:1 Sugar syrup,0.17,,,,,,,
,,Egg white,0.5,,,,,,,
,,,,,,,,,,
46,"Yesterday, Today and Veda",Rye Whiskey,2.00,Stir,Coupe,-,Lemon zest,Autumn,Strong,Dry Sweet
,,Cynar,0.5,,,,,Winter,,
,,Benédictine,0.25,,,,,,,
,,Veda,0.25,,,,,,,
,,,,,,,,,,
47,Italian Buck,Veda,1.50,Shake and fine strain,Highball,Cubed,Lime wedge,Spring,Light,Dry Sweet
,,Cynar,1.50,Top up with Ginger beer,,,,Autumn,,Spicy
,,Lime juice,0.75,,,,,Summer,,
,,Ginger beer,2.50,,,,,,,
,,,,,,,,,,
48,Jim Jam,Veda,1.00,Shake and finestrain,Nick & Nora,-,Lemon zest,Spring,Light,Sweet & Sour
,,Apricot liqueur,0.5,,,,,Autumn,,
,,Lemon juice,0.5,,,,,,,
,,,,,,,,,,
49,Velvet Touch,Rye Whiskey,1.33,Stir,Nick & Nora,-,Orange zest,Winter,Strong,Dry Sweet
,,Veda,0.5,,,,,Autumn,,
,,P.X Sherry,0.33,,,,,Spring,,
,,,,,,,,,,
50,Trident,Manzanilla Sherry,1.00,Stir,Double old fashioned,Cubed,Lemon zest,Spring,Strong,Dry Sweet
,,Veda,1.00,,,,,Autumn,,
,,Aquavit,1.00,,,,,Summer,,
,,Peach bitters,2dashes,,,,,Winter,,
,,,,,,,,,,
51,Susto,Mezcal,1.00,Stir,Old-fashioned ,Block,Basil leaf,Autumn,Strong,Dry Sweet
,,Veda,0.83,,,,,Spring,,Herbal
,,Byrrh,0.5,,,,,,,
,,Celery bitters,1dash,,,,,,,
,,,,,,,,,,
52,Black Magic no.2,Veda,2.00,Stir,Old-fashioned,Block,Orange peel,Autumn,Strong,Dry Sweet
,,Peated scotch,1.00,,,,,Winter,,Fruity
,,Banana Do Brazil ,0.33,,,,,,,
,,Saline solution,2 drops,,,,,,,
,,,,,,,,,,
53,Mushroom Daiquiri,Aged rum,0.5,Shake and fine strain,Coupe,-,-,Summer,Medium,Sweet & Sour
,,Pinepple rum,0.5,,,,,Spring,,Tropical
,,Veda,0.5,,,,,,,
,,Lime juice,0.5,,,,,,,
,,2:1 Sugar syrup,0.25,,,,,,,
,,,,,,,,,,
54,French Kiss No.4,Cognac,1.50,Shake and fine strain,Coupe,-,Raspberry on stick,Summer,Medium,Sweet & Sour
,,Veda,0.67,,,,,Spring,,Tropical
,,Lime juice,0.5,,,,,,,
,,Orgeat,0.33,,,,,,,
,,Raspberry syrup,0.25,,,,,,,
,,,,,,,,,,
55,Avenue San Maritn,Pisco,1.50,Shake and fine strain,Old fashioned,Cubed,Lime wedge,Summer,Medium,Sweet & Sour
,,Veda,0.5,,,,,Spring,,Spicy
,,Honey,2barspoon,,,,,,,
,,Lime juice,0.67,,,,,,,
,,Ginger syrup,0.1,,,,,,,
,,,,,,,,,,
56,Royal Balcan,Gin,1.50,Shake and fine strain,Highball,Cubed,Grapefruit peel,Summer,Medium,Dry Sweet
,,Veda,1.00,Top up with Tonic,,,,Spring,,
,,Benedictine ,0.25,,,,,Autumn,,
,,Grapefruit bitters,1dash,,,,,,,
,,Tonic,2.00,,,,,,,
,,,,,,,,,,
57,French 40,Gin,1.00,Shake and fine strain,Collins,Cubed,Lemon wheel,Spring,Medium,Sweet & Sour
,,Veda,0.75,Top up with Champagne,,,,Autumn,,
,,Lemon juice,0.5,,,,,,,
,,2:1 Sugary Syrup,0.33,,,,,,,
,,Champagne / Sparkling wine,2.00,,,,,,,
,,,,,,,,,,
58,M.S,Veda,1.50,Shake and fine strain,Old-fashioend,Block,Blackberry,Spring,Light,Sweet & Sour
,,Creme de mure,0.5,,,,,Autumn,,
,,Lime juice,0.83,,,,,,,
,,2:1 Sugar syrup,0.25,,,,,,,
,,Absinth,1dash,,,,,,,
,,,,,,,,,,
59,Mushroom Hold,Jamaican overproof rum,0.75,Shake and strain,Old-fashioned,Crushed,Mint peaks,Summer,Strong,Sweet & Sour
,,Veda,0.75,,,,,Spring,,Nutty
,,Elderflower liqueur,0.5,,,,,Autumn,,
,,Lemon juice,0.75,,,,,,,
,,Orgeat,0.33,,,,,,,
,,,,,,,,,,
60,A Still Dawn,Mezcal,0.83,Stir,Nick & Nora,-,-,Atumn,Strong,Dry Sweet
,,Gin,0.83,,,,,Spring,,Fruity
,,Creme de cassis,0.25,,,,,Winter,,
,,Veda,0.17,,,,,,,
,,Pear bitters,2dashes,,,,,,,
,,,,,,,,,,
61,Killer Queen,White overproof rum,1.00,Shake and fine strain,Coupe,-,-,Spring,Strong,Sweet & Sour
,,Veda,1.00,,,,,Summer,,Floral
,,Rose liqueur,0.25,,,,,,,
,,Lime juice,0.75,,,,,,,
,,,,,,,,,,
62,Prophet in Plain Clothes,Peated Scotch,1.00,Stir,Coupe,-,Cherries on stick,Winter,Strong,
,,Fernet Branca,1.00,,,,,Autumn,,
,,Rosso Vermouth,1.00,,,,,,,
,,Veda,0.5,,,,,,,
,,Saline solution,3drops,,,,,,,
,,,,,,,,,,
63,African Flower,Bourbon,2.00,Stir,old-fashioned,Block,Orange peel,Winter,Strong,Dry sweet
,,Veda,0.17,,,,,Autumn,,
,,Creme de Cacao,0.17,,,,,,,
,,Orange bitters,2dashes,,,,,,,
,,,,,,,,,,
64,Crowned King,Gin,1.33,Shake and fine strain,Coupe,-,-,Autumn,Medium,Sweet & Sour
,,Amaro,0.5,,,,,Spring,,Nutty
,,Amontillado Sherry,0.33,,,,,,,
,,Apricot liqueur,0.33,,,,,,,
,,Lemon juice,0.67,,,,,,,
,,Orgeat,0.17,,,,,,,
,,,,,,,,,,
65,A Moment of Silence,Rye,1.50,Stir,Double old-fashioned,Block,Orange peel,Winter,Strong,Bitter
,,Apricot Liqueur,1.00,,,,,Autumn,,
,,Veda,0.5,,,,,,,
,,Angostura bitters,0.25,,,,,,,
,,Applejack brandy,0.25,,,,,,,
,,,,,,,,,,
66,Pura Vida,Mezcal,1.33,Stir,Coupe,-,Orange peel,Winter,Strong,Dry Sweet
,,Veda,0.5,,,,,Autumn,,
,,Galiano Espresso,0.33,,,,,,,
,,Orange bitters,1dash,,,,,,,
,,,,,,,,,,
67,M. Colada,White rum,1.50,Shake,Hurricane,Crashed,Pineapple Wedge,Summer,Light Medium,Sweet
,,Veda,0.33,,,,,Spring,,Tropical
